title	author	rating	num_ratings	description	url
Mad Honey	Picoult, Jodi, 1966-	4.35	4	"Olivia McAfee knows what it feels like to start over. Her picture-perfect life-living in Boston, married to a brilliant cardiothoracic surgeon, raising a beautiful son, Asher-was upended when her husband revealed a darker side. She never imagined she would end up back in her sleepy New Hampshire hometown, living in the house she grew up in, and taking over her father's beekeeping business. Lily Campanello is familiar with do-overs, too. When she and her mom relocate to Adams, New Hampshire, for her final year of high school, they both hope it will be a fresh start. And for just a short while, these new beginnings are exactly what Olivia and Lily need. Their paths cross when Asher falls for the new girl in school, and Lily can't help but fall for him, too. With Ash, she feels happy for the first time. Yet at times, she wonders if she can she trust him completely . . . Then one day, Olivia receives a phone call: Lily is dead, and Asher is being questioned by the police. Olivia is adamant that her son is innocent. But she would be lying if she didn't acknowledge the flashes of his father's temper in him, and as the case against him unfolds, she realizes he's hidden more than he's shared with her"--	https://durhamcounty.bibliocommons.com/item/show/909911169
The Seven Husbands of Evelyn Hugo	Reid, Taylor Jenkins	4.3	3715	From Taylor Jenkins Reid, "a genius when it comes to stories about life and love" (Redbook), comes an unforgettable and sweeping novel about one classic film actress's relentless rise to the top, the risks she took, the loves she lost, and the long-held secrets the public could never imagine. Aging and reclusive Hollywood movie icon Evelyn Hugo is finally ready to tell the truth about her glamorous and scandalous life. But when she chooses unknown magazine reporter Monique Grant for the job, no one in the journalism community is more astounded than Monique herself. Why her? Why now? Monique is not exactly on top of the world. Her husband, David, has left her, and her career has stagnated. Regardless of why Evelyn has chosen her to write her biography, Monique is determined to use this opportunity to jumpstart her career. Summoned to Evelyn's Upper East Side apartment, Monique listens as Evelyn unfurls her story: from making her way to Los Angeles in the 1950s to her decision to leave show business in the late 80s, and, of course, the seven husbands along the way. As Evelyn's life unfolds, revealing a ruthless ambition, an unexpected friendship, and a great forbidden love, Monique begins to feel a very a real connection to the actress. But as Evelyn's story catches up with the present, it becomes clear that her life intersects with Monique's own in tragic and irreversible ways.	https://durhamcounty.bibliocommons.com/item/show/739429169
The House in the Pines	Reyes, Ana, 1982-	3.5	1	A captivating psychological suspense debut about a young woman still haunted by her teenage best friend's death who learns of an eerily similar death and must find her way back to a cabin in the New England woods, armed only with hazy memories, to finally find out the truth that has eluded her. Maya was a high school senior when her best friend Aubrey mysteriously dropped dead in front of the enigmatic man, Frank, they'd been hanging around with all summer. Seven years later, Maya is just managing to move on; she lives in Boston with a loving boyfriend and is finally kicking the secret Klonopin habit that's allowed her to cope with what happened all those years ago. But her past comes back to haunt her when she discovers a recent YouTube video in which a young woman suddenly keels over in a diner sitting across from none other than Frank. Plunged back into the trauma that has defined her life, Maya heads to her small Berkshires hometown to finally figure out the truth about what happened. With guidance from the half-written book by the father in Guatemala she never knew, Maya's quest for answers forces her to relive that fateful summer - the influence Frank once had on her and the jealousy that nearly destroyed her friendship with Aubrey - finally leading her back to Frank's cabin in the woods. The House in the Pines is an utterly unique and surprising thriller about the subtlety of memory and manipulation, confronting the past, and the powerful and lasting bonds of family and friendship.	https://durhamcounty.bibliocommons.com/item/show/923639169
Trust	Díaz, Hernán, 1973-	5.0	1	An award-winning writer of absorbing, sophisticated fiction delivers a stylish and propulsive novel rooted in early 20th century New York, about wealth and talent, trust and intimacy, truth and perception. In glamorous 1920s New York City, two characters of sophisticated taste come together. One is a legendary Wall Street tycoon; the other, the brilliant daughter of penniless aristocrats. Steeped in affluence and grandeur, their marriage excites gossip and allows a continued ascent--all at a moment when the country is undergoing a great transformation. This is the story at the center of Harold Vanner's novel Bonds, which everyone in 1938 New York seems to have read. But it isn't the only version. Provocative, propulsive, and repeatedly surprising, Hernan Diaz's TRUST puts the story of these characters into conversation with the "the truth"--and in tension with the life and perspective of an outsider immersed in the mystery of a competing account. The result is an overarching novel that becomes more exhilarating and profound with each new layer and revelation, engaging the reader in a treasure hunt for the truth that confronts the reality-warping gravitational pull of money, and how power often manipulates facts.	https://durhamcounty.bibliocommons.com/item/show/903437169
The 6:20 Man	Baldacci, David	3.9	231	Every day without fail, Travis Devine puts on a cheap suit, grabs his faux-leather briefcase, and boards the 6:20 commuter train to Manhattan, where he works as an entry-level analyst at the city's most prestigious investment firm. In the mornings, he gazes out the train window at the lavish homes of the uber-wealthy, dreaming about joining their ranks. In the evenings, he listens to the fiscal news on his phone, already preparing for the next grueling day in the cutthroat realm of finance. Then one morning Devine's tedious routing is shattered by an anonymous email: She is dead. Sara Ewes, Devine's coworker and former girlfriend, has been found hanging in a storage room of his office building--presumably a suicide, at least for now--prompting the NYPD to come calling on him. If that wasn't enough, before the day is out, Devine receives another ominous visit, a confrontation that threatens to dredge up grim secrets from his past in the army unless he participates in a clandestine investigation into his firm. This treacherous role will take him from the impossibly glittering lives he once saw only through a train window, to the darkest corners of the country's economic halls of power...where something rotten lurks. And apart from this conspiracy, there's a killer out there with their own agenda, and Devine is the bull's-eye.	https://durhamcounty.bibliocommons.com/item/show/907510169
It Starts With Us	Hoover, Colleen	3.95	484	"Lily and her ex-husband, Ryle, have just settled into a civil coparenting rhythm when she suddenly bumps into her first love, Atlas, again. After nearly two years separated, she is elated that for once, time is on their side, and she immediately says yes when Atlas asks her on a date. But her excitement is quickly hampered by the knowledge that, though they are no longer married, Ryle is still very much a part of her life--and Atlas Corrigan is the one man he will hate being in his ex-wife and daughter's life. Switching between the perspectives of Lily and Atlas, 'It Starts with Us' picks up right where the epilogue for the bestselling phenomenon 'It Ends with Us' left off. Revealing more about Atlas's past and following Lily as she embraces a second chance at true love while navigating a jealous ex-husband"--	https://durhamcounty.bibliocommons.com/item/show/909908169
This Time Tomorrow	Straub, Emma	3.5	2	What if you could take a vacation to your past, without the filter of memory? What would you give to go back in time and relive your youth, in person, with the people who shared it? On the eve of her 40th birthday, Alice's life isn't terrible. She likes her job, even if it isn't exactly the one she expected. She's happy with her apartment, her romantic status, her independence, and she adores her lifelong best friend. But something is missing. Her father, the single parent who raised her, is ailing and out of reach. How did they get here so fast? Did she take too much for granted along the way? When Alice wakes up the next morning somehow back in 1996, it isn't her 16-year-old body that is the biggest shock, or the possibility of romance with her adolescent crush, it's her dad: the vital, charming, 49-year-old version of her father with whom she is reunited. Now armed with a new perspective on her own life and his, is there anything that she should do differently this time around? What would she change, given the chance? With her celebrated humor, insight, and heart, Emma Straub cleverly turns all the traditional time travel tropes on their head and delivers a different kind of love story - about the lifelong, reverberating relationship between a parent and child.	https://durhamcounty.bibliocommons.com/item/show/905865169
Horse	Brooks, Geraldine	4.4	263	A discarded painting in a junk pile, a skeleton in an attic, and the greatest racehorse in American history: from these strands, a Pulitzer Prize winner braids a sweeping story of spirit, obsession, and injustice across American history. Kentucky, 1850. Jarrett, an enslaved groom, and a bay foal forge a bond of understanding that will carry the horse to record-setting victories across the South. As the nation erupts in civil war, an itinerant young artist who has made his name painting the racehorse takes up arms for the Union. On a perilous night, he reunites with the stallion and his groom, very far from the glamor of any racetrack. New York City, 1954. Martha Jackson, a gallery owner celebrated for taking risks on edgy contemporary painters, becomes obsessed with a 19th equestrian oil painting of mysterious provenance. Washington, DC, 2019. Jess, a Smithsonian scientist from Australia, and Theo, a Nigerian-American art historian, find themselves unexpectedly drawn to one another through their shared interest in the horse--one studying the stallion's bones for clues to his power and endurance, the other uncovering the lost history of the unsung Black horsemen who were critical to his racing success. Based on the remarkable true story of the record-breaking thoroughbred, Lexington, who became America's greatest stud sire, Horse is a gripping, multi-layered reckoning with the legacy of enslavement and racism in America.	https://durhamcounty.bibliocommons.com/item/show/907104169
Someone Else's Shoes	Moyes, Jojo, 1969-	0.0	0	"A story of mix-ups, mess-ups and making the most of second chances, this is the new novel from #1 New York Times bestselling author Jojo Moyes, author of Me Before You and The Giver of Stars Who are you when you are forced to walk in someone else's shoes? Nisha Cantor and Sam Kemp are two very different women. Nisha, 45, lives the globetrotting life of the seriously wealthy, until her husband inexplicably cuts her off entirely. She doesn't even have the shoes she was, until a moment ago, standing in. That's because Sam - 47, middle-aged, struggling to keep herself and her family afloat - has accidentally taken Nisha's gym bag. Now Nisha's got nothing. And Sam's walking tall with shoes that catch eyes - and give her a career an unexpected boost. Except Nisha wants her life back - and she'll start with her shoes . . . Someone Else's Shoes is a funny, moving and heartfelt story about how, for any of us just one little thing can suddenly change everything"--	https://durhamcounty.bibliocommons.com/item/show/922859169
An Immense World	Yong, Ed,	4.4	85	The Earth teems with sights and textures, sounds and vibrations, smells and tastes, electric and magnetic fields. But every animal is enclosed within its own unique sensory bubble, perceiving but a tiny sliver of an immense world. This book welcomes us into a previously unfathomable dimension--the world as it is truly perceived by other animals. We encounter beetles that are drawn to fires (and fireworks), songbirds that can see the Earth's magnetic fields, and brainless jellyfish that nonetheless have complex eyes. We discover that a crocodile's scaly face is as sensitive as a lover's fingertips, that the eyes of a giant squid evolved to see sparkling whales, and that even fingernail-sized spiders can make out the craters of the moon. We meet people with unusual senses, from women who can make out extra colors to blind individuals who can navigate using reflected echoes like bats. Yong tells the stories of pivotal discoveries in the field, and also looks ahead at the many mysteries which lie unsolved.	https://durhamcounty.bibliocommons.com/item/show/908580169
Desert Star	Connelly, Michael, 1956-	4.35	282	LAPD detective Renée Ballard and Harry Bosch work together to hunt the killer who is Bosch's white whale--a man responsible for the murder of an entire family. A year has passed since LAPD detective Renée Ballard quit the force in the face of misogyny, demoralization, and endless red tape. Yet, after the chief of police himself tells her she can write her ticket within the department, Ballard takes back her badge, leaving the Late Show to rebuild the cold case unit at the elite Robbery-Homicide Division. For years, Harry Bosch has been working a case that haunts him but that he hasn't been able to crack--the murder of an entire family by a psychopath who still walks free. Ballard makes Bosch an offer: come work with her as a volunteer investigator in the new Open-Unsolved Unit, and he can pursue his white whale with the resources of the LAPD behind him. The two must put aside old resentments to work together again and close in on a dangerous killer.	https://durhamcounty.bibliocommons.com/item/show/922422169
The House of Eve	Johnson, Sadeqa,	4.55	8	"Fifteen-year-old Ruby Pearsall is on track to becoming the first in her family to attend college, in spite of having a mother more interested in keeping a man than raising a daughter. But a taboo love affair threatens to pull her back down into the poverty and desperation that has been passed on to her like a birthright...Eleanor Quarles arrives in Washington, DC, with ambition and secrets. When she meets the handsome William Pride at Howard University, they fall madly in love. But William hails from one of DC's elite wealthy Black families, and his parents don't let just anyone into their fold. Eleanor hopes that a baby will make her finally feel at home in William's family and grant her the life she's been searching for"--	https://durhamcounty.bibliocommons.com/item/show/922882169
The Boys From Biloxi	Grisham, John	3.7	202	For most of the last hundred years, Biloxi was known for its beaches, resorts, and seafood industry. But it had a darker side. It was also notorious for corruption and vice, everything from gambling, prostitution, bootleg liquor, and drugs to contract killings. The vice was controlled by small cabal of mobsters, many of them rumored to be members of the Dixie Mafia. Keith Rudy and Hugh Malco grew up in Biloxi in the sixties and were childhood friends, as well as Little League all-stars. But as teenagers, their lives took them in different directions. Keith's father became a legendary prosecutor, determined to "clean up the Coast." Hugh's father became the "Boss" of Biloxi's criminal underground. Keith went to law school and followed in his father's footsteps. Hugh preferred the nightlife and worked in his father's clubs. The two families were headed for a showdown, one that would happen in a courtroom. Life itself hangs in the balance in The Boys from Biloxi, a sweeping saga rich with history and with a large cast of unforgettable characters.	https://durhamcounty.bibliocommons.com/item/show/909893169
The Housemaid	McFadden, Freida,	0.0	0	Every day I clean the Winchesters' beautiful house top to bottom. I collect their daughter from school. And I cook a delicious meal for the whole family before heading up to eat alone in my tiny room on the top floor. I try to ignore how Nina makes a mess just to watch me clean it up. How she tells strange lies about her own daughter. And how her husband Andrew seems more broken every day. But as I look into Andrew's handsome brown eyes, so full of pain, it's hard not to imagine what it would be like to live Nina's life. I only try on one of Nina's pristine white dresses once. Just to see what it's like. But soon she finds out - and by the time I realize my attic bedroom door only locks from the outside, it's far too late. But I reassure myself that the Winchesters don't know who I really am. And they don't know what I'm capable of.	https://durhamcounty.bibliocommons.com/item/show/911887169
Book Lovers	Henry, Emily	4.15	1183	A by-the-book literary agent must decide if happily ever after is worth changing her whole life for in this insightful, delightful new novel from the #1 New York Times bestselling author of Beach Read and People We Meet on Vacation. Nora Stephens life is books-she's read them all-and she is not that type of heroine. Not the plucky one, not the laidback dream girl, and especially not the sweetheart. In fact, the only people Nora is a heroine for are her clients, for whom she lands enormous deals as a cutthroat literary agent, and her beloved little sister Libby. Which is why she agrees to go to Sunshine Falls, North Carolina for the month of August when Libby begs her for a sisters' trip away-with visions of a small town transformation for Nora who she's convinced needs to become the heroine in her own story. But instead of picnics in meadows, or run-ins with a handsome country doctor or bulging-forearmed bartender, Nora keeps bumping into Charlie Lastra, a bookish brooding editor from back in the city. It would be a meet-cute if not for the fact that they've met many times and it's never been cute. If Nora knows she's not an ideal heroine, Charlie knows he's nobody's hero, but as they are thrown together again and again-in a series of coincidences no editor worth their salt would allow-what they discover might just unravel the carefully crafted stories they've written about themselves.	https://durhamcounty.bibliocommons.com/item/show/903442169
Babel, Or, The Necessity of Violence	Kuang, R. F. (Rebecca F.)	0.0	0	From award-winning author R. F. Kuang comes Babel, a thematic response to The Secret History and a tonal retort to Jonathan Strange & Mr. Norrell that grapples with student revolutions, colonial resistance, and the use of language and translation as the dominating tool of the British empire. Traduttore, traditore: An act of translation is always an act of betrayal. 1828. Robin Swift, orphaned by cholera in Canton, is brought to London by the mysterious Professor Lovell. There, he trains for years in Latin, Ancient Greek, and Chinese, all in preparation for the day he'll enroll in Oxford University's prestigious Royal Institute of Translation--also known as Babel. Babel is the world's center for translation and, more importantly, magic. Silver working--the art of manifesting the meaning lost in translation using enchanted silver bars--has made the British unparalleled in power, as its knowledge serves the Empire's quest for colonization. For Robin, Oxford is a utopia dedicated to the pursuit of knowledge. But knowledge obeys power, and as a Chinese boy raised in Britain, Robin realizes serving Babel means betraying his motherland. As his studies progress, Robin finds himself caught between Babel and the shadowy Hermes Society, an organization dedicated to stopping imperial expansion. When Britain pursues an unjust war with China over silver and opium, Robin must decide ... Can powerful institutions be changed from within, or does revolution always require violence?	https://durhamcounty.bibliocommons.com/item/show/913448169
The Light We Carry	Obama, Michelle, 1964-	4.0	144	Mrs. Obama offers readers a series of fresh stories and insightful reflections on change, challenge, and power, including her belief that when we light up for others, we can illuminate the richness and potential of the world around us, discovering deeper truths and new pathways for progress. Drawing from her experiences as a mother, daughter, spouse, friend, and First Lady, she shares the habits and principles she has developed to successfully adapt to change and overcome various obstacles--the earned wisdom that helps her continue to "become." She details her most valuable practices, like "starting kind," "going high," and assembling a "kitchen table" of trusted friends and mentors. With trademark humor, candor, and compassion, she also explores issues connected to race, gender, and visibility, encouraging readers to work through fear, find strength in community, and live with boldness.	https://durhamcounty.bibliocommons.com/item/show/922230169
Smitten Kitchen Keepers	Perelman, Deb	3.45	11	The long-awaited new book from the best-selling and beloved author of The Smitten Kitchen Cookbook--a collection of essential recipes for meals you'll want to prepare again and again. Deb Perelman is the author of two best-selling cookbooks, the OG of the culinary blogosphere, the homegrown brand with more than a million Instagram followers, the self-taught cook who obsessively tests her recipes until they're perfect. Here, in her third book, Perelman presents 100 new recipes (plus a few old favorites from her site) that aim to make shopping easier, preparation more practical and enjoyable, and food more reliably delicious for the home cook. What's a keeper? It's a brilliantly fuss-free lemon poppy seed cake. It's Perelman's favorite roasted winter squash. It's an epic quiche. It's a slow-roasted chicken on a bed of unapologetically schmaltzy croutons. It's the only apple crisp she will personally ever make. It's perfect spaghetti and meatballs. These are the fail-safe, satisfying recipes you'll rely on for years to come--from Perelman's forever files, to yours.	https://durhamcounty.bibliocommons.com/item/show/922829169
Age of Vice	Kapoor, Deepti	0.0	0	"Binge-worthy reading at its best: an addictive, action-packed page-turner of epic proportions about the machinations of one dizzyingly wealthy family in contemporary India and the outsiders who are drawn into their treacherous web"--	https://durhamcounty.bibliocommons.com/item/show/921711169
Maame	George, Jessica, 1994-	4.0	1	""An utterly charming and deeply moving portrait of the joys--and the guilt--of trying to find your own way in life." --Celeste Ng, #1 New York Times bestselling author "Meeting Maame feels like falling in love for the first time: warm, awkward, joyous, a little bit heartbreaking and, most of all, unforgettable." --Xochitl Gonzalez, New York Times bestselling author of Olga Dies Dreaming Maame (ma-meh) has many meanings in Twi but in my case, it means woman. It's fair to say that Maddie's life in London is far from rewarding. With a mother who spends most of her time in Ghana (yet still somehow manages to be overbearing), Maddie is the primary caretaker for her father, who suffers from advanced stage Parkinson's. At work, her boss is a nightmare and Maddie is tired of always being the only Black person in every meeting. When her mum returns from her latest trip to Ghana, Maddie leaps at the chance to get out of the family home and finally start living. A self-acknowledged late bloomer, she's ready to experience some important "firsts": She finds a flat share, says yes to after-work drinks, pushes for more recognition in her career, and throws herself into the bewildering world of internet dating. But it's not long before tragedy strikes, forcing Maddie to face the true nature of her unconventional family, and the perils--and rewards--of putting her heart on the line. Smart, funny, and deeply affecting, Jessica George's Maame deals with the themes of our time with humor and poignancy: from familial duty and racism, to female pleasure, the complexity of love, and the life-saving power of friendship. Most important, it explores what it feels like to be torn between two homes and cultures-and it celebrates finally being able to find where you belong"--	https://durhamcounty.bibliocommons.com/item/show/921660169
Verity	Hoover, Colleen	4.15	2374	Lowen Ashleigh is a struggling writer on the brink of financial ruin when she accepts the job offer of a lifetime. Jeremy Crawford, husband of bestselling author Verity Crawford, has hired Lowen to complete the remaining books in a successful series his injured wife is unable to finish.	https://durhamcounty.bibliocommons.com/item/show/899893169
The Marriage Portrait	O'Farrell, Maggie, 1972-	5.0	1	Florence, the 1550s. Lucrezia, third daughter of the grand duke, is obscure in the palazzo's clandestine workings. Then her older sister dies on the eve of her wedding to the Alfonso, ruler of Ferrara, Modena and Reggio. Now Lucrezia is to take her sister's place in a troubled court where her arrival is not universally welcomed. Sitting for her wedding portrait, one thing becomes clear to Lucrezia: her only duty is to provide an heir to shore up the future of the Ferrarese dynasty.	https://durhamcounty.bibliocommons.com/item/show/907706169
Checkout 19	Bennett, Claire-Louise,	0.0	0	From the author of the "dazzling... and daring" Pond (O magazine), the adventures of a young woman discovering her own genius, through the people she meets-and dreams up-along the way. In a working-class town in a county west of London, a schoolgirl scribbles in the back pages of her exercise book, thrilling to the first sparks of her own inventiveness. As she grows, she becomes one on whom nothing is lost. Not the novels an eccentric customer slips her at the grocery store where she works as a checkout clerk, or the indelible outline of the careening creature himself. Not the growing heaps of books in which she loses-and finds-herself. Not even the sudden swerve a college friend's mounting envy of her blooming talent takes, derailing in a devastating violation. Threaded through it all, the escapades of her first fully fleshed character-one Tarquin Superbus, bouncing among various time periods and exotic locales-are matched by our delight and exhilaration as the scenarios she is learning to conjure, and the fate she is forging for herself, come together in a brilliant conflagration. Exceeding the extraordinary promise of Bennett's mold-shattering debut, Checkout 19 is a radical affirmation of the power of the imagination and the magic escape those who master it open to the rest of us.	https://durhamcounty.bibliocommons.com/item/show/900837169
The Measure	Erlick, Nikki,	4.05	166	It seems like any other day: You wake up, pour a cup of coffee, and head out. But today when you open your front door, waiting for you is a small wooden box. This box holds your fate inside: the answer to the exact number of years you will live. From suburban doorsteps to desert tents, every person on every continent receives the same box. In an instant, the world is thrust into a collective frenzy. Where did these boxes come from? What do they mean? Is there truth to what they promise? As society comes together and pulls apart, everyone faces the same shocking choice: Do they wish to know how long they'll live? And, if so, what will they do with that knowledge? The Measure charts the dawn of this new world through an unforgettable cast of characters whose decisions and fates interweave with one another: best friends whose dreams are forever entwined; pen pals finding refuge in the unknown; a couple who thought they didn't have to rush; a doctor who cannot save himself; and a politician whose box becomes the powder keg that ultimately changes everything.	https://durhamcounty.bibliocommons.com/item/show/907499169
