Title,Location,Authors,Summary,Published,Language,System Details,Notes,Description,Description Details,Genre,OCLC,Other Identifiers,System ID,abbreviated_summary,extractive_summary
Advances and Innovations in Ferronickel-Making - Duke University Libraries Catalog,,"Li, Guanghui","This book introduces the most inspiring progress in the production of ferronickel from laterite ores, from both theoretical and technological perspectives. Based on a detailed overview of nickel utilization from laterite ores, it provides the advances of four main methods for laterite ore processing, including the solid-sate reduction-magnetic separation process, the rotary kiln reduction-electric arc furnace smelting process, the Krupp-Renn process, and the sintering-blast furnace smelting process. Moreover, for mediating the adverse impacts of the byproducts in ferronickel and subsequent stainless-steel making, it presents pioneering technologies of utilization of ferronickel slag for producing value-added functional materials and recycling of stainless-steel pickling sludge for ferronickel making. This book is expected to offer the audiences a fascinating new insight into ferronickel making and related by-products valorization.","[Place of publication not identified] : Springer, 2023.",,,Title from content provider.,1 online resource,,,,,010853189,"Advances and Innovations in Ferronickel-Making - Duke University Libraries Catalog. This book introduces the most inspiring progress in the production of ferronickel from laterite ores, from both theoretical and technological perspectives. It provides the advances of four main methods for laterite ore processing, including the rotary kiln reduction-electric arc furnace smelting process, the Krupp-Renn process, and the sintering-blast furnace smalting process. It presents pioneering technologies of utilization of feronykel slag for producing value-added functional materials and recycling of stainless-steel pickling sludge.","Based on a detailed overview of nickel utilization from laterite ores, it provides the advances of four main methods for laterite ore processing, including the solid-sate reduction-magnetic separation process, the rotary kiln reduction-electric arc furnace smelting process, the Krupp-Renn process, and the sintering-blast furnace smelting process. This book is expected to offer the audiences a fascinating new insight into ferronickel making and related by-products valorization. Moreover, for mediating the adverse impacts of the byproducts in ferronickel and subsequent stainless-steel making, it presents pioneering technologies of utilization of ferronickel slag for producing value-added functional materials and recycling of stainless-steel pickling sludge for ferronickel making. Advances and Innovations in Ferronickel-Making - Duke University Libraries Catalog This book introduces the most inspiring progress in the production of ferronickel from laterite ores, from both theoretical and technological perspectives."
Advances in Automation IV - Duke University Libraries Catalog,,Radionov,"This book reports on innovative research and developments in automation. Spanning a wide range of disciplines, including communication engineering, power engineering, control engineering, instrumentation, signal processing and cybersecurity, it focuses on methods and findings aimed at improving the control and monitoring of industrial and manufacturing processes as well as safety. Based on the International Russian Automation Conference, held on September 4-10, 2022, in Sochi, Russia, the book provides academics and professionals with a timely overview of and extensive information on the state of the art in the field of automation and control systems and fosters new ideas and collaborations between groups in different countries.","[Place of publication not identified] : Springer International Publishing, 2023.",,,Title from content provider.,1 online resource,,,,,010853191,"Advances in Automation IV reports on innovative research and developments in automation. Based on the International Russian Automation Conference, held on September 4-10, 2022, in Sochi, Russia. The book provides academics and professionals with a timely overview of and extensive information on the state of the art in the field of automation and control systems and fosters new ideas and collaborations between groups in different countries. It focuses on methods and findings aimed at improving the control and monitoring of industrial and manufacturing processes.","Spanning a wide range of disciplines, including communication engineering, power engineering, control engineering, instrumentation, signal processing and cybersecurity, it focuses on methods and findings aimed at improving the control and monitoring of industrial and manufacturing processes as well as safety. Based on the International Russian Automation Conference, held on September 4-10, 2022, in Sochi, Russia, the book provides academics and professionals with a timely overview of and extensive information on the state of the art in the field of automation and control systems and fosters new ideas and collaborations between groups in different countries. Advances in Automation IV - Duke University Libraries Catalog This book reports on innovative research and developments in automation."
"Advances in Automation, Mechanical and Design Engineering : SAMDE 2021 - Duke University Libraries Catalog",,"Laribi, Med Amine","This book presents the proceedings of the 2021 International Symposium on Automation, Mechanical and Design Engineering (SAMDE), held in Beijing, China, on 3-5 December 2021, and organized by the Hong Kong Society of Robotics and Automation (HKSRA). It gathers contributions by researchers from several countries on the following topics: digitalized development and use of sustainable products and manufacturing systems, artificial intelligence, automated reasoning, human-robot collaborative interaction, sensors and autonomous sensor systems, cyber-physical control systems, generative design including topology optimization, advanced simulation and modelling, intelligent automation, smart materials, materials processing and factories, and circular economy, etc. The book offers a source of information and inspiration for researchers seeking to improve their work and gather new ideas for future developments.","Cham : Springer International Publishing : Imprint: Springer, 2023.",English,,,"1 online resource (VI, 191 p. 105 illus., 94 illus. in color.) online resource.",File type: text fileFile format: PDF,,,DOI: 10.1007/978-3-031-09909-0,010853192,"This book presents the proceedings of the 2021 International Symposium on Automation, Mechanical and Design Engineering (SAMDE), held in Beijing, China, on 3-5 December 2021. It offers a source of information and inspiration for researchers seeking to improve their work and gather new ideas for future developments. It gathers contributions by researchers from several countries on the following topics: digitalized development and use of sustainable products and manufacturing systems, artificial intelligence, automated reasoning, human-robot collaborative interaction, sensors and autonomous sensor systems.","The book offers a source of information and inspiration for researchers seeking to improve their work and gather new ideas for future developments. It gathers contributions by researchers from several countries on the following topics: digitalized development and use of sustainable products and manufacturing systems, artificial intelligence, automated reasoning, human-robot collaborative interaction, sensors and autonomous sensor systems, cyber-physical control systems, generative design including topology optimization, advanced simulation and modelling, intelligent automation, smart materials, materials processing and factories, and circular economy, etc. Advances in Automation, Mechanical and Design Engineering : SAMDE 2021 - Duke University Libraries Catalog This book presents the proceedings of the 2021 International Symposium on Automation, Mechanical and Design Engineering (SAMDE), held in Beijing, China, on 3-5 December 2021, and organized by the Hong Kong Society of Robotics and Automation (HKSRA)."
"Advances in civil function structure and industrial architecture : proceedings of the 5th International Conference on Civil Function Structure and Industrial Architecture (CFSIA 2022), Harbin, China, 21-23 January 2022 - Duke University Libraries Catalog",,"International Conference on Civil Function Structure and Industrial Architecture (5th : 2022 : Harbin, China)","Advances in Civil Function Structure and Industrial Architecture contains the Proceedings of 5th International Conference on Civil Function Structure and Industrial Architecture (CFSIA 2022), which was held on January 21-23, 2022, in Harbin, China. The Proceedings of CFSIA 2022 is intended to share scientific research results and cutting-edge technologies in the field of civil function structure and control engineering. Researchers, practitioners and academics in these disciplines will find the book useful. Over 90 papers are featured. Many topics are covered, but the contributions may be seen to fall into one of six broad themes of the conference, namely: (i) Engineering Structure (Engineering Advanced Technology, Engineering Structure and Seismic Resistance, High-rise Building and Large-span Structure, Bridge Engineering, Special Structure, Construction Technology, Monitoring and Control of Structure, Cartography and GIS, Concrete Structure, Construction and Control, etc.); (ii) Intelligent Building (Predictive Maintenance, Converged Networks, Wireless Retrofit, Biometric Integration, Computer Management System Engineering, Building Equipment Automatic Control System Engineering, etc.); (iii) Smart City (Intelligent Construction, Intelligent Transportation, Risk Management and Decision Making for Intelligent Construction, Intelligent Building Automation Control System, etc.); (iv) Structural Seismic Resistance (Structural Seismic Design, Earthquakes and Ground Motions, Building Site, Foundation and Basis, Principles of Structural Seismic Design Calculation, Seismic Shear Adjustment and Minimum Seismic Shear Requirements, etc.); (v) Monitoring and Testing (Steel Structure Stress Monitoring, Stress Change Monitoring for Large Construction Projects, Structural Health Monitoring, Foundation Pit Monitoring, Temperature Monitoring for Large Volume Concrete Pouring, etc.); (vi) Engineering Facility (Machinery Facility, Electrical Facility, Stationary Facility, Non-standard Facility, Compressor, Continuous Transmission Facility, etc.).","Abingdon, Oxon : CRC Press, 2023.©2023",English,,"""A Balkema book"" -- title page.Includes bibliographical references and index.","xiii, 686 pages : illustrations (black and white) ; 26 cm",,CongressesConference papers and proceedings,1313479466.0,,010781627,"The Proceedings of CFSIA 2022 is intended to share scientific research results and cutting-edge technologies in the field of civil function structure and control engineering. Researchers, practitioners and academics in these disciplines will find the book useful. Many topics are covered, but the contributions may be seen to fall into one of six broad themes of the conference, namely: Engineering Structure (Engineering Advanced Technology, Engineering Structure and Seismic Resistance, Smart City (Intelligent Construction, Intelligent Transportation, Risk Management and Decision Making for Intelligent Construction)","Advances in civil function structure and industrial architecture : proceedings of the 5th International Conference on Civil Function Structure and Industrial Architecture (CFSIA 2022), Harbin, China, 21-23 January 2022 - Duke University Libraries Catalog Advances in Civil Function Structure and Industrial Architecture contains the Proceedings of 5th International Conference on Civil Function Structure and Industrial Architecture (CFSIA 2022), which was held on January 21-23, 2022, in Harbin, China. The Proceedings of CFSIA 2022 is intended to share scientific research results and cutting-edge technologies in the field of civil function structure and control engineering. Researchers, practitioners and academics in these disciplines will find the book useful. Over 90 papers are featured. Many topics are covered, but the contributions may be seen to fall into one of six broad themes of the conference, namely: (i) Engineering Structure (Engineering Advanced Technology, Engineering Structure and Seismic Resistance, High-rise Building and Large-span Structure, Bridge Engineering, Special Structure, Construction Technology, Monitoring and Control of Structure, Cartography and GIS, Concrete Structure, Construction and Control, etc.); (ii) Intelligent Building (Predictive Maintenance, Converged Networks, Wireless Retrofit, Biometric Integration, Computer Management System Engineering, Building Equipment Automatic Control System Engineering, etc.); (iii) Smart City (Intelligent Construction, Intelligent Transportation, Risk Management and Decision Making for Intelligent Construction, Intelligent Building Automation Control System, etc.); (iv) Structural Seismic Resistance (Structural Seismic Design, Earthquakes and Ground Motions, Building Site, Foundation and Basis, Principles of Structural Seismic Design Calculation, Seismic Shear Adjustment and Minimum Seismic Shear Requirements, etc.); (v) Monitoring and Testing (Steel Structure Stress Monitoring, Stress Change Monitoring for Large Construction Projects, Structural Health Monitoring, Foundation Pit Monitoring, Temperature Monitoring for Large Volume Concrete Pouring, etc.); (vi) Engineering Facility (Machinery Facility, Electrical Facility, Stationary Facility, Non-standard Facility, Compressor, Continuous Transmission Facility, etc.)."
Advances in Computational Intelligence and Communication - Duke University Libraries Catalog,,Hina,"This book presents select papers from the 2nd EAI International Conference on Computational Intelligence and Communications (CICom 2021). The papers reveal recent advances in the broader domains of Computational Intelligence including (1) automation, control, and intelligent transportation system; (2) big data, Internet of Things, and smart cities; (3) wireless communication systems and cyber security and; (4) human/brain-computer interfaces, and image and pattern recognition. The book demonstrates complex real-world problems in which mathematical or traditional modelling are not the preferred solution and posits alternative solutions. This collection of applications demonstrates the important advances in computational intelligence. The chapters present various ideas that will benefit researchers, graduate students and engineers in this domain.","[Place of publication not identified] : Springer International Publishing, 2023.",,,Title from content provider.,1 online resource,,,,,010853195,"This book presents select papers from the 2nd EAI International Conference on Computational Intelligence and Communications (CICom 2021) The book demonstrates complex real-world problems in which mathematical or traditional modelling are not the preferred solution and posits alternative solutions. This collection of applications demonstrates the important advances in computational intelligence. The chapters present various ideas that will benefit researchers, graduate students and engineers in this domain. The book was published by Duke University Libraries at the University of Durham University in 2011. For more information on the book, visit http://www.dublin.com/Dublin.","The papers reveal recent advances in the broader domains of Computational Intelligence including (1) automation, control, and intelligent transportation system; (2) big data, Internet of Things, and smart cities; (3) wireless communication systems and cyber security and; (4) human/brain-computer interfaces, and image and pattern recognition. This collection of applications demonstrates the important advances in computational intelligence. The chapters present various ideas that will benefit researchers, graduate students and engineers in this domain. The book demonstrates complex real-world problems in which mathematical or traditional modelling are not the preferred solution and posits alternative solutions. Advances in Computational Intelligence and Communication - Duke University Libraries Catalog This book presents select papers from the 2nd EAI International Conference on Computational Intelligence and Communications (CICom 2021)."
Advances in Construction Safety : Proceedings of HSFEA 2020 - Duke University Libraries Catalog,,"Siddiqui, N. A.","This book covers the details of computer-aided tools & techniques for improving work culture and minimizing accidents. The construction industry has been considered for employing the highest number of workmen but at the same time, it is also known as a poorly organized sector because of peculiarity in construction. Since construction project activity keeps changing on an hourly basis, it becomes difficult to manage the safety of workers or workplace and therefore, it stands as the second accident-prone industry. Several tools and techniques are introduced in controlling construction accidents concerning time and improvements are recorded. This book has briefly covered various challenges encountered, gaps in implementation, technological developments, and various methods/techniques to reduce construction accidents and highlights of research need for overall improvement of safety. This book is essentially helpful for students, researchers, faculty, and industry professionals. .","Singapore : Springer Nature Singapore : Imprint: Springer, 2023.",English,,,"1 online resource (X, 327 p. 122 illus., 104 illus. in color.) online resource.",File type: text fileFile format: PDF,,,DOI: 10.1007/978-981-19-4001-9,010853196,"Advances in Construction Safety : Proceedings of HSFEA 2020 - Duke University Libraries Catalog. This book covers the details of computer-aided tools & techniques for improving work culture and minimizing accidents. The construction industry has been considered for employing the highest number of workmen but at the same time, it is also known as a poorly organized sector because of peculiarity in construction. Several tools and techniques are introduced in controlling construction accidents concerning time and improvements are recorded. The book is essentially helpful for students, researchers, faculty, and industry professionals.","The construction industry has been considered for employing the highest number of workmen but at the same time, it is also known as a poorly organized sector because of peculiarity in construction. Several tools and techniques are introduced in controlling construction accidents concerning time and improvements are recorded. Since construction project activity keeps changing on an hourly basis, it becomes difficult to manage the safety of workers or workplace and therefore, it stands as the second accident-prone industry. . This book is essentially helpful for students, researchers, faculty, and industry professionals."
Advances in cyber security and intelligent analytics - Duke University Libraries Catalog,,"Verma, Abhishek","We live in a digital world, where we use digital tools and smart devices to communicate over the Internet. In turn, an enormous amount of data gets generated. The traditional computing architectures are inefficient in storing and managing this massive amount of data. Unfortunately, the data cannot be ignored as it helps businesses to make better decisions, solve problems, understand performance, improve processes, and understand customers. Therefore, we need modern systems capable of handling and managing data efficiently. In the past few decades, many distributed computing paradigms have emerged, and we have noticed a substantial growth in the applications based on such emerging paradigms. Some well-known emerging computing paradigms include cloud computing, fog computing, and edge computing, which have leveraged the increase in the volume of data being generated every second. However, the distributed computing paradigms face critical challenges, including network management and cyber security. We have witnessed the development of various networking models--IoT, SDN, and ICN--to support modern systems requirements. However, they are undergoing rapid changes and need special attention. The main issue faced by these paradigms is that traditional solutions cannot be directly applied to address the challenges. Therefore, there is a significant need to develop improved network management and cyber security solutions. To this end, this book highlights the challenges faced by emerging paradigms and presents the recent developments made to address the challenges. More specifically, it presents a detailed study on security issues in distributed computing environments and their possible solutions, followed by applications of medical IoT, deep learning, IoV, healthcare, etc.","Boca Raton : CRC Press, 2023.",English,,Description based on print version record.Includes bibliographical references and index.,1 online resource (pages cm),File type: text file,,,LCCN: 2022033769,010752201,"We live in a digital world, where we use digital tools and smart devices to communicate over the Internet. Traditional computing architectures are inefficient in storing and managing this massive amount of data. The data cannot be ignored as it helps businesses to make better decisions, solve problems, understand performance, improve processes, and understand customers. We have witnessed the development of various networking models--IoT, SDN, and ICN--to support modern systems requirements. The main issue faced by these paradigms is that traditional solutions cannot be directly applied to address the challenges.","In turn, an enormous amount of data gets generated. The traditional computing architectures are inefficient in storing and managing this massive amount of data. Some well-known emerging computing paradigms include cloud computing, fog computing, and edge computing, which have leveraged the increase in the volume of data being generated every second. Therefore, we need modern systems capable of handling and managing data efficiently. Unfortunately, the data cannot be ignored as it helps businesses to make better decisions, solve problems, understand performance, improve processes, and understand customers."
"Advances in Design and Digital Communication III : Proceedings of the 6th International Conference on Design and Digital Communication, Digicom 2022, November 3-5, 2022, Barcelos, Portugal - Duke University Libraries Catalog",,"Martins, Nuno","This book reports on research findings and practical lessons featuring advances in the areas of digital and interaction design, graphic design and branding, design education, society and communication in design practice, and related ones. Gathering the proceedings of the 6th International Conference on Digital Design and Communication, Digicom 2022, held on November 3-5, 2022, as an hybrid event, from Barcelos, Portugal, and continuing the tradition of the previous book, it describes new design strategies and solutions to foster digital communication within and between the society, institutions and brands. By highlighting innovative ideas and reporting on multidisciplinary projects, it offers a source of inspiration for designers of all kinds, including graphic and web designers, UI, UX and social media designers, and to researchers, advertisers, artists, and brand and corporate communication managers alike.","Cham : Springer Nature Switzerland : Imprint: Springer, 2023.",English,,,"1 online resource (XIX, 825 p. 298 illus., 252 illus. in color.) online resource.",File type: text fileFile format: PDF,,,DOI: 10.1007/978-3-031-20364-0,010853201,"This book reports on research findings and practical lessons featuring advances in the areas of digital and interaction design, graphic design and branding, design education, society and communication in design practice. It offers a source of inspiration for designers of all kinds, including graphic and web designers, UI, UX and social media designers, and to researchers, advertisers, artists, artists and brand and corporate communication managers alike. It describes new design strategies and solutions to foster digital communication within and between the society, institutions and brands.","By highlighting innovative ideas and reporting on multidisciplinary projects, it offers a source of inspiration for designers of all kinds, including graphic and web designers, UI, UX and social media designers, and to researchers, advertisers, artists, and brand and corporate communication managers alike. Gathering the proceedings of the 6th International Conference on Digital Design and Communication, Digicom 2022, held on November 3-5, 2022, as an hybrid event, from Barcelos, Portugal, and continuing the tradition of the previous book, it describes new design strategies and solutions to foster digital communication within and between the society, institutions and brands. Advances in Design and Digital Communication III : Proceedings of the 6th International Conference on Design and Digital Communication, Digicom 2022, November 3-5, 2022, Barcelos, Portugal - Duke University Libraries Catalog This book reports on research findings and practical lessons featuring advances in the areas of digital and interaction design, graphic design and branding, design education, society and communication in design practice, and related ones."
"Advances in design and testing of future smart roads : considering urbanization, digitalization, electrification and climate change - Duke University Libraries Catalog",,"Kuttah, Dina","The streets and roads constitute an enormous part of civil infrastructure and a large part of our cities- a social resource that must be properly managed and developed. Therefore, many road construction companies, contractors, transport and traffic administrations and municipalities are seeking for new road design models that can withstand modern challenges and demands. Advances in Design and Testing of Future Smart Roads: Considering Urbanization, Digitalization, Electrification and Climate Change deals with adapting current road designs to better withstand these future challenges as well as optimizing their structural design. Furthermore, the book illustrates recommendations and models for street/road sections, including the road section with a reconfigurable design, which can be used in both reconstruction and new construction of roads.","Boca Raton : CRC Press, 2023.",English,,Description based on print version record.Includes bibliographical references and index.,1 online resource (pages cm),File type: text file,,,LCCN: 2022021407,010742194,"Advances in Design and Testing of Future Smart Roads: Considering Urbanization, Digitalization, Electrification and Climate Change. The book deals with adapting current road designs to better withstand these future challenges as well as optimizing their structural design. It also illustrates recommendations and models for street/road sections, including the road section with a reconfigurable design, which can be used in both reconstruction and new construction of roads. Furthermore, the book illustrates recommendations for street and road sections, such as road sections that can be reconfigured.","Therefore, many road construction companies, contractors, transport and traffic administrations and municipalities are seeking for new road design models that can withstand modern challenges and demands. Furthermore, the book illustrates recommendations and models for street/road sections, including the road section with a reconfigurable design, which can be used in both reconstruction and new construction of roads. Advances in Design and Testing of Future Smart Roads: Considering Urbanization, Digitalization, Electrification and Climate Change deals with adapting current road designs to better withstand these future challenges as well as optimizing their structural design. Advances in design and testing of future smart roads : considering urbanization, digitalization, electrification and climate change - Duke University Libraries Catalog The streets and roads constitute an enormous part of civil infrastructure and a large part of our cities- a social resource that must be properly managed and developed."
"Advances in Design, Music and Arts II : 8th International Meeting of Research in Music, Arts and Design, EIMAD 2022, July 7-9, 2022 - Duke University Libraries Catalog",,"Raposo, Daniel","This book presents cutting-edge methods and findings that are expected to contribute to significant advances in the areas of communication design, fashion design, interior design and product design, as well as musicology and other related areas. It especially focuses on the role of digital technologies, and on strategies fostering creativity, collaboration, education, as well as sustainability and accessibility in the broadly-intended field of design. Gathering the proceedings of the 8th EIMAD conference, held on July 7-9, 2022, and organized by the School of Applied Arts of the Instituto Politécnico de Castelo Branco, in Portugal, this book offers a timely guide and a source of inspiration for designers of all kinds, advertisers, artists, and entrepreneurs, as well as educators and communication managers. .","Cham : Springer International Publishing : Imprint: Springer, 2023.",English,,,"1 online resource (XX, 889 p. 352 illus., 274 illus. in color.) online resource.",File type: text fileFile format: PDF,,,DOI: 10.1007/978-3-031-09659-4,010853202,"Advances in Design, Music and Arts II: 8th International Meeting of Research in Music, Arts and Design, EIMAD 2022, July 7-9, 2022. This book presents cutting-edge methods and findings that are expected to contribute to significant advances in the areas of communication design, fashion design, interior design and product design. It especially focuses on the role of digital technologies, and on strategies fostering creativity, collaboration, education, as well as sustainability and accessibility in the broadly-intended field of design.","It especially focuses on the role of digital technologies, and on strategies fostering creativity, collaboration, education, as well as sustainability and accessibility in the broadly-intended field of design. . Gathering the proceedings of the 8th EIMAD conference, held on July 7-9, 2022, and organized by the School of Applied Arts of the Instituto Politécnico de Castelo Branco, in Portugal, this book offers a timely guide and a source of inspiration for designers of all kinds, advertisers, artists, and entrepreneurs, as well as educators and communication managers. Advances in Design, Music and Arts II : 8th International Meeting of Research in Music, Arts and Design, EIMAD 2022, July 7-9, 2022 - Duke University Libraries Catalog This book presents cutting-edge methods and findings that are expected to contribute to significant advances in the areas of communication design, fashion design, interior design and product design, as well as musicology and other related areas."
Advances in Earthquake Geotechnics - Duke University Libraries Catalog,,"Sitharam, T. G.","This book brings together contributions from world renowned researchers and practitioners in the field of geotechnical engineering. The chapters of this book are based on the keynote and invited lectures delivered at the 7th International Conference on Recent Advances in Geotechnical Earthquake Engineering and Soil Dynamics. The book presents advances in the field of soil dynamics and geotechnical earthquake engineering. A strong emphasis is placed on proving connections between academic research and field practice, with many examples, case studies, best practices, and discussions on performance-based design. This book will be of interest to research scholars, academicians and industry professionals alike.","Singapore : Springer Nature Singapore : Imprint: Springer, 2023.",English,,,"1 online resource (XII, 253 p. 131 illus., 106 illus. in color.) online resource.",File type: text fileFile format: PDF,,,DOI: 10.1007/978-981-19-3330-1,010853203,"Advances in Earthquake Geotechnics brings together contributions from world renowned researchers and practitioners in the field of geotechnical engineering. The chapters of this book are based on the keynote and invited lectures delivered at the 7th International Conference. The book will be of interest to research scholars, academicians and industry professionals alike. A strong emphasis is placed on proving connections between academic research and field practice, with many examples, case studies, best practices, and discussions on performance-based design.","The chapters of this book are based on the keynote and invited lectures delivered at the 7th International Conference on Recent Advances in Geotechnical Earthquake Engineering and Soil Dynamics. The book presents advances in the field of soil dynamics and geotechnical earthquake engineering. This book will be of interest to research scholars, academicians and industry professionals alike. A strong emphasis is placed on proving connections between academic research and field practice, with many examples, case studies, best practices, and discussions on performance-based design. Advances in Earthquake Geotechnics - Duke University Libraries Catalog This book brings together contributions from world renowned researchers and practitioners in the field of geotechnical engineering."
Advances in Engineering Research and Application - Duke University Libraries Catalog,,Nguyen,"The International Conference on Engineering Research and Applications (ICERA 2022), held on December 1-2, 2022, at Thai Nguyen University of Technology in Thai Nguyen, Vietnam, provided an international forum to disseminate information on latest theories and practices in engineering research and applications. The conference focused on original research work in areas including mechanical engineering, materials and mechanics of materials, mechatronics and micro mechatronics, automotive engineering, electrical and electronics engineering, information and communication technology. By disseminating the latest advances in the field, the Proceedings of ICERA 2022, Advances in Engineering Research and Application, assists academics and professionals alike to reshape their thinking on sustainable development.","[Place of publication not identified] : Springer International Publishing, 2023.",,,Title from content provider.,1 online resource,,,,,010853204,"The International Conference on Engineering Research and Applications (ICERA 2022) was held on December 1-2, 2022, at Thai Nguyen University of Technology in Thai Nguyen, Vietnam. The conference focused on original research work in areas including mechanical engineering, materials and mechanics of materials, mechatronics, automotive engineering, electrical and electronics engineering, information and communication technology. By disseminating the latest advances in the field, the Proceedings of ICERA 2022, Advances in Engineering Research, assists academics and professionals alike to reshape their thinking on sustainable development.","By disseminating the latest advances in the field, the Proceedings of ICERA 2022, Advances in Engineering Research and Application, assists academics and professionals alike to reshape their thinking on sustainable development. The conference focused on original research work in areas including mechanical engineering, materials and mechanics of materials, mechatronics and micro mechatronics, automotive engineering, electrical and electronics engineering, information and communication technology. Advances in Engineering Research and Application - Duke University Libraries Catalog The International Conference on Engineering Research and Applications (ICERA 2022), held on December 1-2, 2022, at Thai Nguyen University of Technology in Thai Nguyen, Vietnam, provided an international forum to disseminate information on latest theories and practices in engineering research and applications."
"Advances in Fashion and Design Research : Proceedings of the 5th International Fashion and Design Congress, CIMODE 2022, July 4-7, 2022, Guimarães, Portugal - Duke University Libraries Catalog",,"Broega, Ana Cristina","This book offers a multidisciplinary perspective on research and developments at the interface between industrial design, textile engineering and fashion. It covers advances in fashion and product design, and in textile production alike, reporting on smart and sustainable industrial procedures and 3D printing, issues in marketing and communication, and topics concerning social responsibility, sustainability, emotions, creativity and education. It highlights research that is expected to foster the development of design and fashion on a global and interdisciplinary scale. Gathering the proceedings of the 5th International Fashion and Design Congress, CIMODE 2022, held on July 4-7, 2022, in Guimarães, Portugal, this book offers extensive information and a source of inspiration to both researchers and professionals in the field of fashion, design, engineering, communication as well as education.","Cham : Springer International Publishing : Imprint: Springer, 2023.",English,,,"1 online resource (XXI, 795 p. 260 illus., 221 illus. in color.) online resource.",File type: text fileFile format: PDF,,,DOI: 10.1007/978-3-031-16773-7,010853205,"This book offers a multidisciplinary perspective on research and developments at the interface between industrial design, textile engineering and fashion. It covers advances in fashion and product design, and in textile production alike, reporting on smart and sustainable industrial procedures and 3D printing. It highlights research that is expected to foster the development of design and fashion on a global and interdisciplinary scale. It offers extensive information and a source of inspiration to both researchers and professionals in the field of fashion, design, engineering, communication as well as education.","It covers advances in fashion and product design, and in textile production alike, reporting on smart and sustainable industrial procedures and 3D printing, issues in marketing and communication, and topics concerning social responsibility, sustainability, emotions, creativity and education. Gathering the proceedings of the 5th International Fashion and Design Congress, CIMODE 2022, held on July 4-7, 2022, in Guimarães, Portugal, this book offers extensive information and a source of inspiration to both researchers and professionals in the field of fashion, design, engineering, communication as well as education. It highlights research that is expected to foster the development of design and fashion on a global and interdisciplinary scale. Advances in Fashion and Design Research : Proceedings of the 5th International Fashion and Design Congress, CIMODE 2022, July 4-7, 2022, Guimarães, Portugal - Duke University Libraries Catalog This book offers a multidisciplinary perspective on research and developments at the interface between industrial design, textile engineering and fashion."
"Advances in Intelligent Systems, Computer Science and Digital Economics IV - Duke University Libraries Catalog",,"Hu, Zhengbing","This book comprises high-quality peer-reviewed research papers presented at the 4th International Symposium on Computer Science, Digital Economy and Intelligent Systems (CSDEIS2022), held in Wuhan, China, from November 11-13, 2022, organized jointly by the Wuhan University of Technology, Hubei University of Technology, Wuhan University of Science and Technology, the Polish Operational and Systems Society, and the International Center of Informatics and Computer Science (ICICS). The topics discussed in the book include state-of-the-art papers in computer science and their technological applications; intelligent systems and intellectual approaches; digital economics and educational approaches. It is an excellent source of references for researchers, graduate students, engineers, management practitioners, and undergraduate students interested in computer science and its applications in engineering and management.","[Place of publication not identified] : Springer, 2023.",,,Title from content provider.,1 online resource,,,,,010853208,"This book comprises high-quality peer-reviewed research papers presented at the 4th International Symposium on Computer Science, Digital Economy and Intelligent Systems (CSDEIS2022) The topics discussed in the book include state-of-the-art papers in computer science and their technological applications; intelligent systems and intellectual approaches; digital economics and educational approaches. It is an excellent source of references for researchers, graduate students, engineers,. engineers, management practitioners, and undergraduate students interested in. computer science.","It is an excellent source of references for researchers, graduate students, engineers, management practitioners, and undergraduate students interested in computer science and its applications in engineering and management. The topics discussed in the book include state-of-the-art papers in computer science and their technological applications; intelligent systems and intellectual approaches; digital economics and educational approaches. Advances in Intelligent Systems, Computer Science and Digital Economics IV - Duke University Libraries Catalog This book comprises high-quality peer-reviewed research papers presented at the 4th International Symposium on Computer Science, Digital Economy and Intelligent Systems (CSDEIS2022), held in Wuhan, China, from November 11-13, 2022, organized jointly by the Wuhan University of Technology, Hubei University of Technology, Wuhan University of Science and Technology, the Polish Operational and Systems Society, and the International Center of Informatics and Computer Science (ICICS)."
